FechaHora,Pitch,Roll,Latitud,Longitud,Velocidad,Rumbo
2025-06-25 00:22:31,11.9,-1.0,-12.032602,-77.502755,13.1,348.3
2025-06-25 00:22:46,12.8,2.0,-12.03233,-77.502755,13.3,349.0
2025-06-25 00:23:02,12.2,-0.4,-12.03207,-77.502755,13.3,348.1
2025-06-25 00:23:17,11.8,-1.7,-12.031808,-77.502755,13.3,347.4
2025-06-25 00:23:32,12.4,1.5,-12.031548,-77.502755,13.2,349.1
2025-06-25 00:23:48,12.6,0.7,-12.031288,-77.502755,13.3,348.6
2025-06-25 00:24:03,11.8,-2.0,-12.031028,-77.502755,13.2,349.0
2025-06-25 00:24:19,12.0,0.6,-12.030767,-77.502755,13.3,348.9
2025-06-25 00:24:34,12.8,1.6,-12.030507,-77.502755,13.3,347.0
2025-06-25 00:24:49,12.3,-1.7,-12.030247,-77.502755,13.3,347.9
2025-06-25 00:25:05,11.8,-0.5,-12.029987,-77.502755,13.3,346.4
2025-06-25 00:25:20,12.5,2.0,-12.029727,-77.502755,13.3,348.6
2025-06-25 00:25:36,12.7,0.8,-12.02947,-77.502755,13.3,347.4
2025-06-25 00:25:52,12.0,-2.0,-12.029208,-77.502755,13.2,350.5
2025-06-25 00:26:07,11.8,0.6,-12.028948,-77.502755,13.2,352.3
2025-06-25 00:26:23,12.7,1.6,-12.028688,-77.502755,13.4,353.9
2025-06-25 00:26:38,12.4,-1.6,-12.028428,-77.502755,13.2,354.0
2025-06-25 00:26:53,11.8,-0.5,-12.028168,-77.502755,13.2,355.6
2025-06-25 00:27:09,12.2,2.0,-12.027907,-77.502755,13.3,357.2
2025-06-25 00:27:24,12.7,-0.8,-12.027647,-77.502755,13.2,356.1
2025-06-25 00:27:39,12.1,-1.2,-12.027387,-77.502755,13.3,0.1
2025-06-25 00:27:55,12.0,2.0,-12.027113,-77.502755,13.4,359.6
2025-06-25 00:28:11,12.5,0.7,-12.026853,-77.502755,13.3,0.5
2025-06-25 00:28:26,12.6,-2.0,-12.026593,-77.502755,13.3,358.0
2025-06-25 00:28:41,11.8,0.7,-12.026333,-77.502755,13.3,358.2
2025-06-25 00:28:57,12.2,1.3,-12.026073,-77.502755,13.3,1.7
2025-06-25 00:29:12,12.7,-1.5,-12.0258,-77.502755,13.3,6.2
2025-06-25 00:29:27,12.1,0.2,-12.02554,-77.502755,13.3,6.0
2025-06-25 00:29:43,11.7,2.0,-12.025267,-77.502755,13.2,359.3
2025-06-25 00:29:58,12.6,-1.1,-12.025007,-77.502755,13.3,359.8
2025-06-25 00:30:14,12.6,-1.2,-12.024747,-77.502755,13.3,358.4
2025-06-25 00:30:29,11.9,1.9,-12.024485,-77.502755,13.4,359.0
2025-06-25 00:30:44,12.1,0.9,-12.024213,-77.502755,13.4,1.0
2025-06-25 00:31:00,12.6,-1.9,-12.023952,-77.502755,13.2,0.6
2025-06-25 00:31:15,12.3,0.2,-12.02368,-77.502755,13.2,359.5
2025-06-25 00:31:31,11.7,1.7,-12.02342,-77.502755,13.2,359.6
2025-06-25 00:31:47,12.4,-1.5,-12.023158,-77.502755,13.3,0.9
2025-06-25 00:32:02,12.7,-1.2,-12.022887,-77.502755,13.3,4.2
2025-06-25 00:32:17,11.8,2.0,-12.022627,-77.502755,13.2,3.6
2025-06-25 00:32:33,11.9,-0.4,-12.022353,-77.502755,13.3,5.4
2025-06-25 00:32:48,12.7,-1.1,-12.02208,-77.502755,13.2,2.9
2025-06-25 00:33:03,12.4,1.7,-12.02182,-77.502755,13.3,1.1
2025-06-25 00:33:19,11.8,1.0,-12.021547,-77.502755,13.4,0.1
2025-06-25 00:33:35,12.2,-1.8,-12.021275,-77.502755,13.2,2.2
2025-06-25 00:33:50,12.7,0.7,-12.021002,-77.502755,13.3,3.0
2025-06-25 00:34:05,12.0,1.9,-12.020742,-77.502755,13.2,1.6
2025-06-25 00:34:21,11.9,-0.8,-12.020468,-77.502755,13.4,2.1
2025-06-25 00:34:36,12.7,-0.7,-12.020208,-77.502755,13.3,0.3
2025-06-25 00:34:52,12.7,1.7,-12.019935,-77.502755,13.4,2.4
2025-06-25 00:35:07,11.7,-0.5,-12.019663,-77.502755,13.2,6.1
2025-06-25 00:35:23,12.3,-1.9,-12.019403,-77.502755,13.4,6.0
2025-06-25 00:35:38,12.8,0.6,-12.01913,-77.502755,13.4,6.5
2025-06-25 00:35:53,12.2,0.9,-12.01887,-77.502755,13.3,4.5
2025-06-25 00:36:09,11.8,-1.8,-12.018597,-77.502755,13.3,359.9
2025-06-25 00:36:24,12.6,0.1,-12.018337,-77.502755,13.3,0.4
2025-06-25 00:36:41,12.8,1.0,-12.018052,-77.502755,13.3,0.5
2025-06-25 00:36:56,12.1,0.5,-12.01779,-77.502755,13.3,0.2
2025-06-25 00:37:08,12.7,2.0,-12.01758,-77.502755,13.3,359.4
2025-06-25 00:37:20,11.8,1.5,-12.01737,-77.502755,13.2,359.7
2025-06-25 00:37:32,12.1,1.5,-12.017172,-77.502755,13.2,2.0
2025-06-25 00:37:47,11.9,-1.1,-12.01691,-77.502755,13.2,357.7
2025-06-25 00:38:02,12.9,-1.2,-12.01665,-77.502755,13.4,357.3
2025-06-25 00:38:17,12.3,1.9,-12.01639,-77.502755,13.3,355.7
2025-06-25 00:38:34,11.9,1.4,-12.01613,-77.502755,13.4,349.8
2025-06-25 00:38:48,12.6,-1.9,-12.015868,-77.502755,13.4,349.8
2025-06-25 00:39:03,12.5,2.0,-12.015622,-77.502755,13.3,348.3
2025-06-25 00:39:19,11.8,-1.8,-12.015362,-77.502755,0.0,349.8
2025-06-25 00:39:34,12.0,-2.0,-12.015088,-77.502755,13.3,350.1
2025-06-25 00:39:49,12.6,-1.2,-12.014828,-77.502755,13.3,348.8
2025-06-25 00:40:05,12.6,1.9,-12.014568,-77.502755,13.3,349.7
2025-06-25 00:40:21,11.7,-1.5,-12.014308,-77.502755,13.2,350.1
2025-06-25 00:40:36,12.3,-1.9,-12.014048,-77.502755,13.4,352.2
2025-06-25 00:40:52,12.8,1.3,-12.013775,-77.502755,13.3,352.0
2025-06-25 00:41:08,12.1,1.0,-12.01354,-77.502755,13.3,352.1
2025-06-25 00:41:23,11.8,-2.0,-12.013253,-77.502755,13.3,353.0
2025-06-25 00:41:38,12.5,0.3,-12.013007,-77.502755,13.3,351.0
2025-06-25 00:41:55,12.8,0.8,-12.012722,-77.502755,13.3,352.6
2025-06-25 00:42:10,12.0,-0.0,-12.012473,-77.502755,13.2,353.6
2025-06-25 00:42:25,12.0,-1.9,-12.012213,-77.502755,13.3,354.7
2025-06-25 00:42:40,12.7,1.3,-12.011952,-77.502755,13.3,354.8
2025-06-25 00:42:55,12.1,-0.5,-12.011705,-77.502755,13.2,353.4
2025-06-25 00:43:12,11.8,-1.7,-12.011432,-77.502755,13.3,355.3
2025-06-25 00:43:27,12.0,-1.3,-12.011158,-77.502755,13.3,354.9
2025-06-25 00:43:42,12.7,1.9,-12.010898,-77.502755,13.2,351.3
2025-06-25 00:43:57,12.0,-1.4,-12.01064,-77.502755,13.3,348.7
2025-06-25 00:44:13,12.0,-0.8,-12.01038,-77.502755,13.3,347.3
2025-06-25 00:44:29,12.3,1.2,-12.010133,-77.502755,13.2,343.3
2025-06-25 00:44:43,12.3,-1.7,-12.009887,-77.502755,13.4,343.7
2025-06-25 00:44:59,11.9,-2.0,-12.009635,-77.502755,13.3,347.3
2025-06-25 00:45:15,12.0,0.2,-12.009377,-77.502755,13.3,346.2
